"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"06.08.2026","227,65","227,65","227,65","227,25","-0,34%"
"05.08.2026","228,43","228,43","228,43","228,26","-0,44%"
"04.08.2026","229,43","229,43","229,43","228,71","-1,76%"
"03.08.2026","233,53","233,53","233,53","231,74","-1,54%"
"31.07.2026","237,20","237,20","237,20","236,79","-0,99%"
"30.07.2026","239,57","239,57","239,57","239,04","0,35%"
"29.07.2026","238,73","238,73","239,51","238,73","-0,25%"
"28.07.2026","239,34","239,34","239,34","238,16","-0,26%"
"27.07.2026","239,96","239,96","239,96","239,34","-1,65%"
"24.07.2026","244,00","244,00","244,00","243,31","0,68%"
"23.07.2026","242,35","242,35","244,37","242,35","1,82%"
"22.07.2026","238,02","238,02","238,72","238,02","0,56%"
"21.07.2026","236,70","236,70","236,91","236,70","-0,22%"
"20.07.2026","237,23","237,23","237,58","237,23","1,71%"
"17.07.2026","233,23","233,23","235,21","233,23","2,01%"
"16.07.2026","228,63","228,63","228,89","228,63","0,01%"
"15.07.2026","228,61","228,61","228,69","228,61","-0,43%"
"14.07.2026","229,60","229,60","229,60","229,52","1,39%"
"13.07.2026","226,45","226,45","227,82","226,45","0,76%"
"10.07.2026","224,74","224,74","224,74","224,29","-0,96%"
